complaint_text,department,category,priority,clean_text
The underground parking is flooded but this is due to pipe leak not drainage.,Water Supply,Leakage,High,the underground parking is flooded but this is due to pipe leak not drainage.
"Street near hospital flooded from water pipe burst, ambulances struggling to pass.",Water Supply,Leakage,High,"street near hospital flooded from water pipe burst, ambulances struggling to pass."
Road damage near the junction is worsening due to water seepage from leaking pipe.,Water Supply,Leakage,High,road damage near the junction is worsening due to water seepage from leaking pipe.
"The pothole near our gate is filled with water from leaking pipe, not rain water.",Water Supply,Leakage,High,"the pothole near our gate is filled with water from leaking pipe, not rain water."
Water overflowing from broken pipe is adding to road damage problems.,Water Supply,Leakage,High,water overflowing from broken pipe is adding to road damage problems.
Pothole problem combined with water leakage making Road No. 4 completely unmotorable.,Roads,Pothole,Medium,pothole problem combined with water leakage making road no. 4 completely unmotorable.
Road damage appearing because of water seepage weakening the foundation.,Roads,Road Damage,Medium,road damage appearing because of water seepage weakening the foundation.
The flooding on our street is because garbage has blocked the drain.,Sanitation,Garbage,Low,the flooding on our street is because garbage has blocked the drain.
"Garage area is overflowing and water is accumulating, need garbage cleared first.",Sanitation,Garbage,Low,"garage area is overflowing and water is accumulating, need garbage cleared first."
Streets are wet looking but its actually from continuous water pipe leak.,Water Supply,Leakage,High,streets are wet looking but its actually from continuous water pipe leak.
"Water pooling near market is from leaky pipe, vendors are assuming its drainage issue.",Water Supply,Leakage,High,"water pooling near market is from leaky pipe, vendors are assuming its drainage issue."
Road near factory appears flooded due to massive water wastage from broken main line.,Water Supply,Leakage,High,road near factory appears flooded due to massive water wastage from broken main line.
Urgent: Pipe burst has flooded the entire lane and water is entering houses.,Water Supply,Leakage,High,urgent pipe burst has flooded the entire lane and water is entering houses.
The road is submerged in shin-deep water from burst pipe near the cinema hall.,Water Supply,Leakage,High,the road is submerged in shindeep water from burst pipe near the cinema hall.
Water gushing like a fountain from cracked pipeline near the busy intersection.,Water Supply,Leakage,High,water gushing like a fountain from cracked pipeline near the busy intersection.
My shop is flooded because water is seeping from the municipal pipeline outside.,Water Supply,Leakage,High,my shop is flooded because water is seeping from the municipal pipeline outside.
Street flooding daily not due to rain but because of hidden underground pipe leak.,Water Supply,Leakage,High,street flooding daily not due to rain but because of hidden underground pipe leak.
"Old pipeline burst flooding the entire slum area, residents wading through water.",Water Supply,Leakage,High,"old pipeline burst flooding the entire slum area, residents wading through water."
"Power cut since 2 days means no water pumping, both problems need attention.",Electricity,Power Cut,High,"power cut since 2 days means no water pumping, both problems need attention."
Transformer failure causing power and subsequently water crisis in our area.,Electricity,Power Cut,High,transformer failure causing power and subsequently water crisis in our area.
"Electricity restored but water not coming, seems like pipeline issue separately.",Water Supply,Shortage,High,"electricity restored but water not coming, seems like pipeline issue separately."
"Water supply was fine but stopped when power cut happened, motor based supply.",Electricity,Power Cut,High,"water supply was fine but stopped when power cut happened, motor based supply."
"Local tanker filling point flooded due to pipe burst, tankers cannot fill now.",Water Supply,Leakage,High,"local tanker filling point flooded due to pipe burst, tankers cannot fill now."
"Water crisis here is not supply issue, its because underground pipe burst nearby.",Water Supply,Leakage,High,"water crisis here is not supply issue, its because underground pipe burst nearby."
"Large pothole exactly where the water pipe was repaired last month, poor patchwork.",Roads,Pothole,Medium,"large pothole exactly where the water pipe was repaired last month, poor patchwork."
Road has developed cracks above the location where water pipe runs underground.,Roads,Road Damage,Medium,road has developed cracks above the location where water pipe runs underground.
The garbage pile near drain is small but causing water to stagnate and smell.,Sanitation,Garbage,Low,the garbage pile near drain is small but causing water to stagnate and smell.
Minor garbage accumulation near temple but its attracting stray cattle daily.,Sanitation,Garbage,Low,minor garbage accumulation near temple but its attracting stray cattle daily.
Small amount of construction debris near our gate but been there for two weeks.,Sanitation,Garbage,Low,small amount of construction debris near our gate but been there for two weeks.
Just two bags of garbage left uncollected but attracting numerous flies and dogs.,Sanitation,Garbage,Low,just two bags of garbage left uncollected but attracting numerous flies and dogs.
Vegetable market generates daily waste that remains uncollected until evening.,Sanitation,Garbage,Low,vegetable market generates daily waste that remains uncollected until evening.
"The public bin replacement requested months ago still not done, old one overflows.",Sanitation,Garbage,Low,"the public bin replacement requested months ago still not done, old one overflows."
"Sweepers are irregular in our lane, garbage accumulates for days sometimes.",Sanitation,Garbage,Low,"sweepers are irregular in our lane, garbage accumulates for days sometimes."
Night market leaves behind garbage that morning collection doesnt fully clear.,Sanitation,Garbage,Low,night market leaves behind garbage that morning collection doesnt fully clear.
Fruit waste from juice stalls attracting bees and wasps near the garden entrance.,Sanitation,Garbage,Low,fruit waste from juice stalls attracting bees and wasps near the garden entrance.
Please increase garbage collection frequency during summer as waste rots faster.,Sanitation,Garbage,Low,please increase garbage collection frequency during summer as waste rots faster.
The door-to-door garbage collection has stopped in our gated community.,Sanitation,Garbage,Low,the doortodoor garbage collection has stopped in our gated community.
Old newspapers and cardboard piling at the corner because ragpicker hasnt come.,Sanitation,Garbage,Low,old newspapers and cardboard piling at the corner because ragpicker hasnt come.
Garbage situation overall okay but the one bin near the temple is always overflowing.,Sanitation,Garbage,Low,garbage situation overall okay but the one bin near the temple is always overflowing.
"Street sweeper absent without notice for a week now, who is the replacement?",Sanitation,Garbage,Low,"street sweeper absent without notice for a week now, who is the replacement?"
Mixed waste including sharp glass pieces near playground is a safety hazard.,Sanitation,Garbage,Low,mixed waste including sharp glass pieces near playground is a safety hazard.
Large leaves from neem tree blocking the drain because sweepers dont clean there.,Sanitation,Garbage,Low,large leaves from neem tree blocking the drain because sweepers dont clean there.
Festival season is over but remaining garbage from pandals still not removed.,Sanitation,Garbage,Low,festival season is over but remaining garbage from pandals still not removed.
"Garbage collection timing keeps changing, residents are confused when to put bins.",Sanitation,Garbage,Low,"garbage collection timing keeps changing, residents are confused when to put bins."
Coconut shells and fiber from nearby temple dumped on public land regularly.,Sanitation,Garbage,Low,coconut shells and fiber from nearby temple dumped on public land regularly.
"Stray dogs have torn open garbage bags near the vet clinic, ironic situation.",Sanitation,Garbage,Low,"stray dogs have torn open garbage bags near the vet clinic, ironic situation."
"Small localized garbage issue near the electric meter box, might cause fire.",Sanitation,Garbage,Low,"small localized garbage issue near the electric meter box, might cause fire."
The cleaning staff sprinkle water on dust but dont actually sweep it away.,Sanitation,Garbage,Low,the cleaning staff sprinkle water on dust but dont actually sweep it away.
Leaf litter from the avenue trees not being collected for composting as promised.,Sanitation,Garbage,Low,leaf litter from the avenue trees not being collected for composting as promised.
Shallow pothole developing right at the pedestrian crossing point near school.,Roads,Pothole,Medium,shallow pothole developing right at the pedestrian crossing point near school.
The repaired pothole has opened up again within one month of filling.,Roads,Pothole,Medium,the repaired pothole has opened up again within one month of filling.
"Bus wheel got stuck in deep pothole near the terminus, traffic blocked for hour.",Roads,Pothole,Medium,"bus wheel got stuck in deep pothole near the terminus, traffic blocked for hour."
"Rain revealing hidden potholes that were filled with loose mud, now exposed.",Roads,Pothole,Medium,"rain revealing hidden potholes that were filled with loose mud, now exposed."
Consecutive potholes making the road feel like a roller coaster ride.,Roads,Pothole,Medium,consecutive potholes making the road feel like a roller coaster ride.
"The colony secretarys car damaged by pothole, finally someone will complain now.",Roads,Pothole,Medium,"the colony secretarys car damaged by pothole, finally someone will complain now."
Small but deep pothole near the drain cover is a trap for two-wheelers.,Roads,Pothole,Medium,small but deep pothole near the drain cover is a trap for twowheelers.
Police barricaded the giant pothole but when will actual repair happen?,Roads,Pothole,Medium,police barricaded the giant pothole but when will actual repair happen?
New potholes forming near the under-construction metro station daily.,Roads,Pothole,Medium,new potholes forming near the underconstruction metro station daily.
"Water filled potholes becoming mini ponds, children are playing in them dangerously.",Roads,Pothole,Medium,"water filled potholes becoming mini ponds, children are playing in them dangerously."
Ambulance got stuck in pothole while carrying emergency patient to hospital.,Roads,Pothole,Medium,ambulance got stuck in pothole while carrying emergency patient to hospital.
Garbage truck avoiding potholes and thereby skipping our lane collection entirely.,Roads,Pothole,Medium,garbage truck avoiding potholes and thereby skipping our lane collection entirely.
The entire junction has crater like potholes from all four approach roads.,Roads,Pothole,Medium,the entire junction has crater like potholes from all four approach roads.
"Pothole filled with blue stone material but not tarred, it will wash away with rain.",Roads,Pothole,Medium,"pothole filled with blue stone material but not tarred, it will wash away with rain."
Electric cable exposed through crack in road surface near the power pole.,Roads,Road Damage,Medium,electric cable exposed through crack in road surface near the power pole.
Entire road section near the petrol pump has sunk due to underground pipe work.,Roads,Road Damage,Medium,entire road section near the petrol pump has sunk due to underground pipe work.
Road surface has become like washboard with ripples from heavy vehicle damage.,Roads,Road Damage,Medium,road surface has become like washboard with ripples from heavy vehicle damage.
"Bridge deck has developed severe longitudinal cracks, structural safety concern.",Roads,Road Damage,Medium,"bridge deck has developed severe longitudinal cracks, structural safety concern."
The road looks like puzzle pieces with cracks running in all directions.,Roads,Road Damage,Medium,the road looks like puzzle pieces with cracks running in all directions.
Approach road to the new township project is already damaged beyond repair.,Roads,Road Damage,Medium,approach road to the new township project is already damaged beyond repair.
Old concrete road has steel mesh exposed and rusting dangerously.,Roads,Road Damage,Medium,old concrete road has steel mesh exposed and rusting dangerously.
"Road damage report for third time this year at same location, permanent fix needed.",Roads,Road Damage,Medium,"road damage report for third time this year at same location, permanent fix needed."
The freshly laid asphalt is already showing signs of cracking near manhole.,Roads,Road Damage,Medium,the freshly laid asphalt is already showing signs of cracking near manhole.
"Speed breaker has broken into pieces, sharp concrete edges exposed now.",Roads,Road Damage,Medium,"speed breaker has broken into pieces, sharp concrete edges exposed now."
"Monthly power cuts have become too frequent, seems like infrastructure issue.",Electricity,Power Cut,High,"monthly power cuts have become too frequent, seems like infrastructure issue."
Every afternoon between 2-4 PM there is guaranteed power cut in our area.,Electricity,Power Cut,High,every afternoon between 24 pm there is guaranteed power cut in our area.
Scheduled load shedding announced but actual cuts are much longer than stated.,Electricity,Power Cut,High,scheduled load shedding announced but actual cuts are much longer than stated.
"The power line to our colony is overloaded, trips multiple times daily.",Electricity,Power Cut,High,"the power line to our colony is overloaded, trips multiple times daily."
"Sparking from electricity pole before power cut, potential fire hazard noticed.",Electricity,Power Cut,High,"sparking from electricity pole before power cut, potential fire hazard noticed."
"Revenue deficit cited for power cuts but we pay bills regularly, unfair.",Electricity,Power Cut,High,"revenue deficit cited for power cuts but we pay bills regularly, unfair."
"Night duty workers unable to sleep during day due to power cuts, affecting health.",Electricity,Power Cut,High,"night duty workers unable to sleep during day due to power cuts, affecting health."
"Commercial refrigeration failing due to power cuts, huge business losses daily.",Electricity,Power Cut,High,"commercial refrigeration failing due to power cuts, huge business losses daily."
The old wiring in our locality causes frequent faults and power outages.,Electricity,Power Cut,High,the old wiring in our locality causes frequent faults and power outages.
Power cut during cricket match finals caused by overload on local transformer.,Electricity,Power Cut,High,power cut during cricket match finals caused by overload on local transformer.
Dairy farmers losing milk production because cooling equipment cannot run.,Electricity,Power Cut,High,dairy farmers losing milk production because cooling equipment cannot run.
Welding shop and fabrication units closed due to continuous power failures.,Electricity,Power Cut,High,welding shop and fabrication units closed due to continuous power failures.
"Study room lamps and fans not working, board exam preparation severely hit.",Electricity,Power Cut,High,"study room lamps and fans not working, board exam preparation severely hit."
"Bank ATM has no power backup, cash withdrawal impossible during outages.",Electricity,Power Cut,High,"bank atm has no power backup, cash withdrawal impossible during outages."
Community water purifier RO plant cannot function without electricity.,Electricity,Power Cut,High,community water purifier ro plant cannot function without electricity.
"Power cut timing coincides with office hours, work from home impossible.",Electricity,Power Cut,High,"power cut timing coincides with office hours, work from home impossible."
The cable TV and internet routers dead mean complete disconnection during cuts.,Electricity,Power Cut,High,the cable tv and internet routers dead mean complete disconnection during cuts.
Elevator stuck thrice this week due to sudden power failures mid-operation.,Electricity,Power Cut,High,elevator stuck thrice this week due to sudden power failures midoperation.
Food delivery services affected because restaurants cannot operate during cuts.,Electricity,Power Cut,High,food delivery services affected because restaurants cannot operate during cuts.
Power restoration takes hours even after fault is reported immediately.,Electricity,Power Cut,High,power restoration takes hours even after fault is reported immediately.
Road near my house is completely flooded and broken because water keeps flowing nonstop from somewhere underground.,Water Supply,Leakage,High,road near my house is completely flooded and broken because water keeps flowing nonstop from somewhere underground.
"Due to constant water seepage, the road surface has collapsed and vehicles are getting stuck.",Water Supply,Leakage,High,"due to constant water seepage, the road surface has collapsed and vehicles are getting stuck."
Street has turned into a muddy mess after continuous water flow damaged the road layer.,Water Supply,Leakage,High,street has turned into a muddy mess after continuous water flow damaged the road layer.
Water is overflowing onto the road making potholes worse and traffic impossible.,Water Supply,Leakage,High,water is overflowing onto the road making potholes worse and traffic impossible.
No water in our building because the motor cannot run due to frequent power cuts.,Water Supply,Shortage,High,no water in our building because the motor cannot run due to frequent power cuts.
Residents are suffering without water as electricity keeps going off every few hours.,Water Supply,Shortage,High,residents are suffering without water as electricity keeps going off every few hours.
"We are getting water only when electricity comes briefly, otherwise taps stay dry.",Water Supply,Shortage,High,"we are getting water only when electricity comes briefly, otherwise taps stay dry."
Stagnant dirty water mixed with garbage is spreading bad smell in our street.,Sanitation,Garbage,Low,stagnant dirty water mixed with garbage is spreading bad smell in our street.
Garbage lying near leaking water pipe has created unhygienic conditions.,Sanitation,Garbage,Low,garbage lying near leaking water pipe has created unhygienic conditions.
Water accumulation due to waste blocking drains has become a health issue.,Sanitation,Garbage,Low,water accumulation due to waste blocking drains has become a health issue.
"The road surface is uneven with cracks everywhere, making driving extremely uncomfortable.",Roads,Road Damage,Medium,"the road surface is uneven with cracks everywhere, making driving extremely uncomfortable."
"Multiple depressions and broken patches have appeared, vehicles shake badly.",Roads,Road Damage,Medium,"multiple depressions and broken patches have appeared, vehicles shake badly."
There are several deep holes forming again and again after repairs.,Roads,Pothole,Medium,there are several deep holes forming again and again after repairs.
Road has partially sunk and looks like potholes but spread across the entire stretch.,Roads,Road Damage,Medium,road has partially sunk and looks like potholes but spread across the entire stretch.
Fans suddenly stop working multiple times a day without warning.,Electricity,Power Cut,High,fans suddenly stop working multiple times a day without warning.
Voltage keeps dropping and lights go off randomly for long periods.,Electricity,Power Cut,High,voltage keeps dropping and lights go off randomly for long periods.
Our appliances keep shutting down because supply is not stable.,Electricity,Power Cut,High,our appliances keep shutting down because supply is not stable.
Living conditions have become unbearable due to repeated civic failures.,Electricity,Power Cut,High,living conditions have become unbearable due to repeated civic failures.
Daily routine is badly affected because basic services are unreliable.,Water Supply,Shortage,High,daily routine is badly affected because basic services are unreliable.
Our locality feels neglected as problems keep piling up.,Roads,Road Damage,Medium,our locality feels neglected as problems keep piling up.
"Water pipe has broken near the railway station, causing severe flooding on platform approach road.",Water Supply,Leakage,High,"water pipe has broken near the railway station, causing severe flooding on platform approach road."
"Continuous water flow from damaged pipe near the vegetable mandi, vendors are complaining daily.",Water Supply,Leakage,High,"continuous water flow from damaged pipe near the vegetable mandi, vendors are complaining daily."
The main water line near Ambedkar Chowk has been leaking for over a week now.,Water Supply,Leakage,High,the main water line near ambedkar chowk has been leaking for over a week now.
"Burst pipe flooding the basement parking of our apartment, cars are getting damaged.",Water Supply,Leakage,High,"burst pipe flooding the basement parking of our apartment, cars are getting damaged."
Heavy seepage from underground pipeline making the footpath slippery and dangerous.,Water Supply,Leakage,High,heavy seepage from underground pipeline making the footpath slippery and dangerous.
"Water gushing out near the primary health centre, patients are struggling to enter.",Water Supply,Leakage,High,"water gushing out near the primary health centre, patients are struggling to enter."
Cracked water main near the gurudwara causing massive water wastage.,Water Supply,Leakage,High,cracked water main near the gurudwara causing massive water wastage.
Pipeline burst at the junction has created a small lake on the main road.,Water Supply,Leakage,High,pipeline burst at the junction has created a small lake on the main road.
"Leaking pipe near the electricity substation poses electrocution risk, very dangerous.",Water Supply,Leakage,High,"leaking pipe near the electricity substation poses electrocution risk, very dangerous."
Underground pipe leak has made our compound permanently muddy since weeks.,Water Supply,Leakage,High,underground pipe leak has made our compound permanently muddy since weeks.
The road near railway colony is always wet because of continuous pipe leakage.,Water Supply,Leakage,High,the road near railway colony is always wet because of continuous pipe leakage.
Burst water main near the stadium causing inconvenience during morning walks.,Water Supply,Leakage,High,burst water main near the stadium causing inconvenience during morning walks.
Overflowing water from cracked pipe entering the adjacent shop and damaging goods.,Water Supply,Leakage,High,overflowing water from cracked pipe entering the adjacent shop and damaging goods.
Severe leakage from the main distribution line affecting water pressure in entire block.,Water Supply,Leakage,High,severe leakage from the main distribution line affecting water pressure in entire block.
Pipeline damage near the ITI college has flooded the entire approach road.,Water Supply,Leakage,High,pipeline damage near the iti college has flooded the entire approach road.
Water seeping through pavement cracks near bus stand creating puddles everywhere.,Water Supply,Leakage,High,water seeping through pavement cracks near bus stand creating puddles everywhere.
Continuous dripping from overhead water pipe showering pedestrians below.,Water Supply,Leakage,High,continuous dripping from overhead water pipe showering pedestrians below.
Burst pipe near the cold storage causing water to flow onto goods loading area.,Water Supply,Leakage,High,burst pipe near the cold storage causing water to flow onto goods loading area.
Leaking water meter outside my house running continuously for five days.,Water Supply,Leakage,High,leaking water meter outside my house running continuously for five days.
Water gushing from road crack near the petrol pump making it hazardous for vehicles.,Water Supply,Leakage,High,water gushing from road crack near the petrol pump making it hazardous for vehicles.
"Pipeline burst flooding the lane behind the mosque, residents are very upset.",Water Supply,Leakage,High,"pipeline burst flooding the lane behind the mosque, residents are very upset."
Street flooded from burst pipe but corporation is saying it is drainage issue.,Water Supply,Leakage,High,street flooded from burst pipe but corporation is saying it is drainage issue.
Huge water wastage from broken standpipe near the slum rehabilitation colony.,Water Supply,Leakage,High,huge water wastage from broken standpipe near the slum rehabilitation colony.
Water overflow from damaged tank inlet creating waterfall on the road below.,Water Supply,Leakage,High,water overflow from damaged tank inlet creating waterfall on the road below.
Pipe joint failure near the SBI ATM causing water accumulation at the entrance.,Water Supply,Leakage,High,pipe joint failure near the sbi atm causing water accumulation at the entrance.
Continuous leakage from fire hydrant near the market has been ignored for months.,Water Supply,Leakage,High,continuous leakage from fire hydrant near the market has been ignored for months.
Underground pipe burst causing road to sink near the community hall.,Water Supply,Leakage,High,underground pipe burst causing road to sink near the community hall.
"Water seepage damaging the boundary wall of the government school, safety concern.",Water Supply,Leakage,High,"water seepage damaging the boundary wall of the government school, safety concern."
Main pipeline rupture flooding the lane where my shop is located.,Water Supply,Leakage,High,main pipeline rupture flooding the lane where my shop is located.
Broken water connection spraying water on passersby near the rickshaw stand.,Water Supply,Leakage,High,broken water connection spraying water on passersby near the rickshaw stand.
Water seepage from municipal line causing dampness in my ground floor house.,Water Supply,Leakage,High,water seepage from municipal line causing dampness in my ground floor house.
"Burst pipe creating mini waterfall near the temple steps, devotees are slipping.",Water Supply,Leakage,High,"burst pipe creating mini waterfall near the temple steps, devotees are slipping."
Leaking pipeline near the graveyard making the path extremely muddy.,Water Supply,Leakage,High,leaking pipeline near the graveyard making the path extremely muddy.
Heavy water flow from cracked main line near the cinema hall parking area.,Water Supply,Leakage,High,heavy water flow from cracked main line near the cinema hall parking area.
Underground leak has created sinkhole near the cooperative bank branch.,Water Supply,Leakage,High,underground leak has created sinkhole near the cooperative bank branch.
Continuous water wastage from damaged public tap near the ration shop.,Water Supply,Leakage,High,continuous water wastage from damaged public tap near the ration shop.
Pipeline crack causing water to mix with drain near the vegetable market.,Water Supply,Leakage,High,pipeline crack causing water to mix with drain near the vegetable market.
Water spraying from broken joint near the transformer causing short circuit fear.,Water Supply,Leakage,High,water spraying from broken joint near the transformer causing short circuit fear.
"Main road flooded from pipe burst, traffic police had to divert vehicles.",Water Supply,Leakage,High,"main road flooded from pipe burst, traffic police had to divert vehicles."
Waterlogged parking near our society entrance due to underground pipe damage.,Water Supply,Leakage,High,waterlogged parking near our society entrance due to underground pipe damage.
Leaking pipe near the aanganwadi center making it difficult for mothers to visit.,Water Supply,Leakage,High,leaking pipe near the aanganwadi center making it difficult for mothers to visit.
Burst water main has turned our colony road into a stream since three days.,Water Supply,Leakage,High,burst water main has turned our colony road into a stream since three days.
Water seepage from municipal line damaging foundation of century-old heritage building.,Water Supply,Leakage,High,water seepage from municipal line damaging foundation of centuryold heritage building.
Continuous leak from water meter pit flooding my gate entrance daily.,Water Supply,Leakage,High,continuous leak from water meter pit flooding my gate entrance daily.
Pipeline damage near the flour mill causing wheat to get wet and spoiled.,Water Supply,Leakage,High,pipeline damage near the flour mill causing wheat to get wet and spoiled.
Water gushing from cracked pipe near the auto stand making waiting area unusable.,Water Supply,Leakage,High,water gushing from cracked pipe near the auto stand making waiting area unusable.
Flooded lane due to pipe burst near the cooperative housing society.,Water Supply,Leakage,High,flooded lane due to pipe burst near the cooperative housing society.
Leaking overhead tank creating permanent wet patch on the road below.,Water Supply,Leakage,High,leaking overhead tank creating permanent wet patch on the road below.
Underground pipe leak detected from constant bubbling in the road surface.,Water Supply,Leakage,High,underground pipe leak detected from constant bubbling in the road surface.
Water waste from burst pipe could have supplied entire mohalla for days.,Water Supply,Leakage,High,water waste from burst pipe could have supplied entire mohalla for days.
"Taps have been completely dry in our colony since four days, this is inhuman.",Water Supply,Shortage,High,"taps have been completely dry in our colony since four days, this is inhuman."
"Zero water supply during the marriage season, how will we manage functions?",Water Supply,Shortage,High,"zero water supply during the marriage season, how will we manage functions?"
"No water coming despite motor running, the underground tank is completely empty.",Water Supply,Shortage,High,"no water coming despite motor running, the underground tank is completely empty."
Water crisis has forced us to postpone my daughters wedding by a week.,Water Supply,Shortage,High,water crisis has forced us to postpone my daughters wedding by a week.
"Not a single drop of water for three days, even animals are suffering.",Water Supply,Shortage,High,"not a single drop of water for three days, even animals are suffering."
"Complete water outage in Ward 23, thousands of families without water.",Water Supply,Shortage,High,"complete water outage in ward 23, thousands of families without water."
"Our taps run dry while neighboring ward gets water twice daily, this is injustice.",Water Supply,Shortage,High,"our taps run dry while neighboring ward gets water twice daily, this is injustice."
"Water tanker promised three times but never came, we are losing patience.",Water Supply,Shortage,High,"water tanker promised three times but never came, we are losing patience."
"Severe water shortage affecting the hostel, 500 students without water.",Water Supply,Shortage,High,"severe water shortage affecting the hostel, 500 students without water."
"The borewell has also dried up, and municipal supply is non-existent.",Water Supply,Shortage,High,"the borewell has also dried up, and municipal supply is nonexistent."
Water crisis forcing residents to leave their houses and stay elsewhere.,Water Supply,Shortage,High,water crisis forcing residents to leave their houses and stay elsewhere.
"No water for dialysis at home, patient health is deteriorating rapidly.",Water Supply,Shortage,High,"no water for dialysis at home, patient health is deteriorating rapidly."
"Pregnant woman in our house needs water urgently, taps are completely dry.",Water Supply,Shortage,High,"pregnant woman in our house needs water urgently, taps are completely dry."
"Water supply timing changed without notice, now we miss it due to work hours.",Water Supply,Shortage,High,"water supply timing changed without notice, now we miss it due to work hours."
"Tanker water is Rs 500 per tank, poor families cannot afford this daily.",Water Supply,Shortage,High,"tanker water is rs 500 per tank, poor families cannot afford this daily."
Factory workers going home without bathing because factory has no water supply.,Water Supply,Shortage,High,factory workers going home without bathing because factory has no water supply.
Restaurant had to close because there is no water to wash utensils or cook.,Water Supply,Shortage,High,restaurant had to close because there is no water to wash utensils or cook.
"School toilets have no water, children are avoiding using them all day.",Water Supply,Shortage,High,"school toilets have no water, children are avoiding using them all day."
Temple cannot perform rituals because water supply has stopped completely.,Water Supply,Shortage,High,temple cannot perform rituals because water supply has stopped completely.
"Water scarcity turning our locality into a desert, please help immediately.",Water Supply,Shortage,High,"water scarcity turning our locality into a desert, please help immediately."
"Zero pressure in taps even during supply hours, nothing comes out.",Water Supply,Shortage,High,"zero pressure in taps even during supply hours, nothing comes out."
"Water comes for only 20 minutes at 4 AM, impossible to fill tanks in this time.",Water Supply,Shortage,High,"water comes for only 20 minutes at 4 am, impossible to fill tanks in this time."
"Our overhead tank has been empty for a week, no water from corporation.",Water Supply,Shortage,High,"our overhead tank has been empty for a week, no water from corporation."
Water shortage is so severe that fights are breaking out at public taps.,Water Supply,Shortage,High,water shortage is so severe that fights are breaking out at public taps.
Neighborhood aunties standing in line for water since 5 AM without any supply yet.,Water Supply,Shortage,High,neighborhood aunties standing in line for water since 5 am without any supply yet.
"Our well has also dried, municipal water is our only hope and it has stopped.",Water Supply,Shortage,High,"our well has also dried, municipal water is our only hope and it has stopped."
"Water crisis affecting local dairy, buffaloes are not getting enough water.",Water Supply,Shortage,High,"water crisis affecting local dairy, buffaloes are not getting enough water."
"Kids are going to school without bathing, water shortage has reached crisis level.",Water Supply,Shortage,High,"kids are going to school without bathing, water shortage has reached crisis level."
Lodging facility had to turn away guests because there is no running water.,Water Supply,Shortage,High,lodging facility had to turn away guests because there is no running water.
Water shortage causing skin problems in children due to lack of proper bathing.,Water Supply,Shortage,High,water shortage causing skin problems in children due to lack of proper bathing.
"Cannot do laundry for past week, piled up dirty clothes and no water to wash.",Water Supply,Shortage,High,"cannot do laundry for past week, piled up dirty clothes and no water to wash."
Local sweet shop closed because water shortage means no production possible.,Water Supply,Shortage,High,local sweet shop closed because water shortage means no production possible.
Gym had to suspend operations as there is no water for showers or toilets.,Water Supply,Shortage,High,gym had to suspend operations as there is no water for showers or toilets.
Community kitchen for elderly cannot function without water supply.,Water Supply,Shortage,High,community kitchen for elderly cannot function without water supply.
Hospital asked to bring own water as they also face severe shortage.,Water Supply,Shortage,High,hospital asked to bring own water as they also face severe shortage.
"Water shortage has affected our poultry farm, birds are dying daily.",Water Supply,Shortage,High,"water shortage has affected our poultry farm, birds are dying daily."
"Queue for water tanker is 3 hours long, this is not sustainable life.",Water Supply,Shortage,High,"queue for water tanker is 3 hours long, this is not sustainable life."
"Mentally challenged family member at home needs constant care, water is essential.",Water Supply,Shortage,High,"mentally challenged family member at home needs constant care, water is essential."
Summer vacation but kids cannot play because they cannot bathe after playing.,Water Supply,Shortage,High,summer vacation but kids cannot play because they cannot bathe after playing.
Water pressure suddenly drops to zero in evening when everyone needs it most.,Water Supply,Shortage,High,water pressure suddenly drops to zero in evening when everyone needs it most.
"Our lane is systemically neglected, others get water while we get nothing.",Water Supply,Shortage,High,"our lane is systemically neglected, others get water while we get nothing."
Complete water failure in our apartment complex affecting 200 families.,Water Supply,Shortage,High,complete water failure in our apartment complex affecting 200 families.
"Tap makes loud noise but no water comes, the pipeline seems empty.",Water Supply,Shortage,High,"tap makes loud noise but no water comes, the pipeline seems empty."
"Water crisis in exam season, students cannot concentrate without basic facilities.",Water Supply,Shortage,High,"water crisis in exam season, students cannot concentrate without basic facilities."
Senior citizens in our mohalla walking to distant areas to fetch water.,Water Supply,Shortage,High,senior citizens in our mohalla walking to distant areas to fetch water.
"Public tap near our house has been dry for two weeks, when will this end?",Water Supply,Shortage,High,"public tap near our house has been dry for two weeks, when will this end?"
"No water supply notice was given, suddenly everything stopped yesterday.",Water Supply,Shortage,High,"no water supply notice was given, suddenly everything stopped yesterday."
Water tanker is selling water at exorbitant rates taking advantage of shortage.,Water Supply,Shortage,High,water tanker is selling water at exorbitant rates taking advantage of shortage.
Massive pothole near the petrol pump on NH 48 has caused five accidents this month.,Roads,Pothole,Medium,massive pothole near the petrol pump on nh 48 has caused five accidents this month.
Series of deep potholes on the bridge making crossing extremely risky.,Roads,Pothole,Medium,series of deep potholes on the bridge making crossing extremely risky.
"Pothole near the school gate filled with water, children falling into it daily.",Roads,Pothole,Medium,"pothole near the school gate filled with water, children falling into it daily."
The pothole near traffic signal is now so big that cars get stuck in it.,Roads,Pothole,Medium,the pothole near traffic signal is now so big that cars get stuck in it.
"Newly laid road already has potholes within two months, contractor should be held accountable.",Roads,Pothole,Medium,"newly laid road already has potholes within two months, contractor should be held accountable."
Potholes on the road to industrial area are damaging goods transport vehicles.,Roads,Pothole,Medium,potholes on the road to industrial area are damaging goods transport vehicles.
"Rickshaw overturned due to pothole near the vegetable market, passengers injured.",Roads,Pothole,Medium,"rickshaw overturned due to pothole near the vegetable market, passengers injured."
